label x;label y
1551;98
1552;98
1553;98
1554;98
1555;99
1556;99
1557;99
1558;99
1559;99
1560;99
1561;99
1562;99
1563;99
1564;99
1565;99
1566;99
1567;99
1568;98
1569;98
1570;98
1571;98
1572;98
1573;98
1574;98
1575;98
1576;98
1577;98
1577;98
1578;98
1579;98
1580;98
1581;98
1582;98
1583;98
1584;98
1585;98
1586;98
1587;98
1588;98
1589;98
1590;98
1591;98
1592;98
1593;98
1594;98
1595;98
1596;98
1597;98
1598;98
1599;98
1600;98
1601;98
1602;99
1603;99
1604;99
1604;99
1605;99
1606;99
1607;99
1608;99
1609;99
